Modbus address,Object designation ,WPMsystem,WPM 3,WPM 3i,Comments,Min. value,Max. value,Data type,Unit,Write/ read (w/r),Suffix
3501,VD HEATING DAY,x,x,x,Amount of heat - all heat pumps,0,65535,6,kWh,r,
3502,VD HEATING TOTAL,x,x,x,Amount of heat - all heat pumps,0,999,6,kWh,r,LOW
3503,VD HEATING TOTAL,x,x,x,Amount of heat - all heat pumps,0,65535,6,MWh,r,HI
3504,VD DHW DAY,x,x,x,Amount of heat - all heat pumps,0,65535,6,kWh,r,
3505,VD DHW TOTAL,x,x,x,Amount of heat - all heat pumps,0,999,6,kWh,r,LOW
3506,VD DHW TOTAL,x,x,x,Amount of heat - all heat pumps,0,65535,6,MWh,r,HI
3507,NHZ HEATING TOTAL,x,x,x,Amount of heat - all heat pumps,0,999,6,kWh,r,LOW
3508,NHZ HEATING TOTAL,x,x,x,Amount of heat - all heat pumps,0,65535,6,MWh,r,HI
3509,NHZ DHW TOTAL,x,x,x,Amount of heat - all heat pumps,0,999,6,kWh,r,LOW
3510,NHZ DHW TOTAL,x,x,x,Amount of heat - all heat pumps,0,65535,6,MWh,r,HI
3511,VD HEATING DAY,x,x,x,Power consumption - all heat pumps,0,65535,6,kWh,r,CONSUMED
3512,VD HEATING TOTAL,x,x,x,Power consumption - all heat pumps,0,999,6,kWh,r,LOW CONSUMED
3513,VD HEATING TOTAL,x,x,x,Power consumption - all heat pumps,0,65535,6,MWh,r,HI CONSUMED
3514,VD DHW DAY,x,x,x,Power consumption - all heat pumps,0,65535,6,kWh,r,CONSUMED
3515,VD DHW TOTAL,x,x,x,Power consumption - all heat pumps,0,999,6,kWh,r,LOW CONSUMED
3516,VD DHW TOTAL,x,x,x,Power consumption - all heat pumps,0,65535,6,MWh,r,HI CONSUMED
3517,VD HEATING,,,x,Runtime,0,999,6,h,r,
3518,VD DHW,,,x,Runtime,0,999,6,h,r,
3519,VD COOLING,,,x,Runtime,0,999,6,h,r,
3520,NHZ 1,,,x,Runtime,0,999,6,h,r,
3521,NHZ 2,,,x,Runtime,0,999,6,h,r,
3522,NHZ 1_2,,,x,Runtime,0,999,6,h,r,
3523,VD HEATING DAY,x,x,,Amount of heat HP 1,0,65535,6,kWh,r,HP 1
3524,VD HEATING TOTAL,x,x,,Amount of heat HP 1,0,999,6,kWh,r,LOW HP 1
3525,VD HEATING TOTAL,x,x,,Amount of heat HP 1,0,65535,6,MWh,r,HI HP 1
3526,VD DHW DAY,x,x,,Amount of heat HP 1,0,65535,6,kWh,r,HP 1
3527,VD DHW TOTAL,x,x,,Amount of heat HP 1,0,999,6,kWh,r,LOW HP 1
3528,VD DHW TOTAL,x,x,,Amount of heat HP 1,0,65535,6,MWh,r,HI HP 1
3529,NHZ HEATING TOTAL,x,x,,Amount of heat HP 1,0,999,6,kWh,r,LOW HP 1
3530,NHZ HEATING TOTAL,x,x,,Amount of heat HP 1,0,65535,6,MWh,r,HI HP 1
3531,NHZ DHW TOTAL,x,x,,Amount of heat HP 1,0,999,6,kWh,r,LOW HP 1
3532,NHZ DHW TOTAL,x,x,,Amount of heat HP 1,0,65535,6,MWh,r,HI HP 1
3533,VD HEATING DAY,x,x,,Power consumption HP 1,0,65535,6,kWh,r,CONSUMED HP 1
3534,VD HEATING TOTAL,x,x,,Power consumption HP 1,0,999,6,kWh,r,LOW CONSUMED HP 1
