Modbus address,Object designation ,WPMsystem,WPM 3,WPM 3i,Comments,Min. value,Max. value,Data type,Unit,Write/ read (w/r),Suffix
3644,VD HEATING,x,,,Runtime HP 1,,,6,h,r,HP 1
3645,VD DHW,x,,,Runtime HP 1,,,6,h,r,HP 1
3646,VD HEATING,x,,,Runtime HP 2,,,6,h,r,HP 2
3647,VD DHW,x,,,Runtime HP 2,,,6,h,r,HP 2
3648,VD HEATING,x,,,Runtime HP 3,,,6,h,r,HP 3
3649,VD DHW,x,,,Runtime HP 3,,,6,h,r,HP 3
3650,VD HEATING,x,,,Runtime HP 4,,,6,h,r,HP 4
3651,VD DHW,x,,,Runtime HP 4,,,6,h,r,HP 4
3652,VD HEATING,x,,,Runtime HP 5,,,6,h,r,HP 5
3653,VD DHW,x,,,Runtime HP 5,,,6,h,r,HP 5
3654,VD HEATING,x,,,Runtime HP 6,,,6,h,r,HP 6
3655,VD DHW,x,,,Runtime HP 6,,,6,h,r,HP 6
3680,INVERTER POWER IWS 1,x,,,One decimal place,0,200,2,kW,r,
3681,INVERTER POWER IWS 2,x,,,One decimal place,0,200,2,kW,r,
3682,INVERTER POWER IWS 3,x,,,One decimal place,0,200,2,kW,r,
3683,INVERTER POWER IWS 4,x,,,One decimal place,0,200,2,kW,r,
3684,INVERTER POWER IWS 5,x,,,One decimal place,0,200,2,kW,r,
3685,INVERTER POWER IWS 6,x,,,One decimal place,0,200,2,kW,r,
3690,AMOUNT OF HEAT HEATING 1–24 h,x,,,,,,6,Wh,r,LOW
3691,AMOUNT OF HEAT HEATING 1–24 h,x,,,,,,6,kWh,r,HI
3692,AMOUNT OF HEAT HEATING 1–12,x,,,,,,6,kWh,r,LOW
3693,AMOUNT OF HEAT HEATING 1–12,x,,,,,,6,MWh,r,HI
3694,AMOUNT OF HEAT HEATING 13–24,x,,,,,,6,kWh,r,LOW
3695,AMOUNT OF HEAT HEATING 13–24,x,,,,,,6,MWh,r,HI
3696,AMOUNT OF HEAT COOLING 1–24 h,x,,,,,,6,Wh,r,LOW
3697,AMOUNT OF HEAT COOLING 1–24 h,x,,,,,,6,kWh,r,HI
3698,AMOUNT OF HEAT COOLING 1–12 M,x,,,,,,6,kWh,r,LOW
3699,AMOUNT OF HEAT COOLING 1–12 M,x,,,,,,6,MWh,r,HI
3700,AMOUNT OF HEAT COOLING 13–24,x,,,,,,6,kWh,r,LOW
3701,AMOUNT OF HEAT COOLING 13–24,x,,,,,,6,MWh,r,HI
3702,AMOUNT OF HEAT DHW 1–24 h  WH WH,x,,,,,,6,Wh,r,LOW
3703,AMOUNT OF HEAT DHW 1–24 h,x,,,,,,6,kWh,r,HI
3704,AMOUNT OF HEAT DHW 1–12 M,x,,,,,,6,kWh,r,LOW
3705,AMOUNT OF HEAT DHW 1–12 M,x,,,,,,6,MWh,r,HI
3706,AMOUNT OF HEAT DHW 13–24 M,x,,,,,,6,kWh,r,LOW
3707,AMOUNT OF HEAT DHW 13–24 M,x,,,,,,6,MWh,r,HI
3708,HEATING 24H,x,,,Power consumption - heating 24h,0,65535,6,kWh,r,LOW
3709,HEATING 24H,x,,,Power consumption - heating 24h whole,,,6,kWh,r,HI
3710,HEATING 12M,x,,,Power consumption - heating 12m fraction,0,65535,6,kWh,r,LOW
3711,HEATING 12M,x,,,Power consumption - heating 12m whole,0,65535,6,kWh,r,HI
3712,HEATING 13-24,x,,,Power consumption - heating 13-24 fraction,,,6,kWh,r,LOW
3713,HEATING 13-24,x,,,Power consumption - heating 13-24 whole,,,6,MWh,r,HI
3714,COOLING 24H,x,,,Power consumption - cooling 24h fraction,0,65535,6,kWh,r,LOW
3715,COOLING 24H,x,,,Power consumption - cooling 24h whole,0,65535,6,kWh,r,HI
3716,COOLING 12M,x,,,Power consumption - cooling 12m,0,65535,6,kWh,r,LOW
3717,COOLING 12M,x,,,Power consumption - cooling 13-24 whole,,,6,MWh,r,HI
3718,COOLING 13-24,x,,,Power consumption - cooling 13-24 fraction,,,6,kWh,r,LOW
3719,COOLING 13-24,x,,,Power consumption - cooling 13-24 whole,,,6,MWh,r,HI
3720,DHW 24H,x,,,Power consumption - DHW 24h fraction,0,65535,6,kWh,r,LOW
3721,DHW 24H,x,,,Power consumption - DHW 24h whole,0,65535,6,kWh,r,HI
3722,DHW 12M,x,,,Power consumption - DHW 12m fraction,0,65535,6,kWh,r,LOW
3723,DHW 12M,x,,,Power consumption - DHW 12m whole,0,65535,6,kWh,r,HI
3724,DHW 13-24,x,,,Power consumption - DHW 13-24 fraction,,,6,kWh,r,LOW
3725,DHW 13-24,x,,,Power consumption - DHW 13-24 whole,,,6,MWh,r,HI
3726,EFFICIENCY HEATING 1–24 h,x,,,,,,6,,r,
3727,EFFICIENCY HEATING 1–12 M,x,,,,,,6,,r,
3728,EFFICIENCY HEATING 13–24 M,x,,,,,,6,,r,
3729,EFFICIENCY COOLING 1–24 h,x,,,,,,6,,r,
3730,EFFICIENCY COOLING 1–12 M,x,,,,,,6,,r,
3731,EFFICIENCY COOLING 13–24 M,x,,,,,,6,,r,
3732,EFFICIENCY DHW 1–24 h,x,,,,,,6,,r,
3733,EFFICIENCY DHW 1–12 M,x,,,,,,6,,r,
3734,EFFICIENCY DHW 13–24 M,x,,,,,,6,,r,
